ratio,kappa,sigma,uniform_msd,gated_msd,relative_msd_gap,uniform_cost,gated_cost,gated_robust_rate
0.02,0.02,1.0,2.4189905274468847e-05,2.4189912161838472e-05,2.8472081832497285e-07,10.0,7.886860000000001,0.7652066666666668
0.05,0.05,1.0,2.4189905274468847e-05,2.4190221413803203e-05,1.3069060451831335e-05,10.0,5.150530000000001,0.46116999999999997
0.1,0.1,1.0,2.4189905274468847e-05,2.4193653827728006e-05,0.00015496353609599904,10.0,2.44954,0.16105999999999998
0.2,0.2,1.0,2.4189905274468847e-05,2.4205228516042734e-05,0.0006334560387906993,10.0,1.4491900000000002,0.049909999999999996
0.5,0.5,1.0,2.4189905274468847e-05,2.425738362127928e-05,0.002789525053727773,10.0,1.4134900000000004,0.04594333333333333
1.0,1.0,1.0,2.4189905274468847e-05,2.5804949411675327e-05,0.06676521130949088,10.0,1.38595,0.042883333333333336
1.5,1.5,1.0,2.4189905274468847e-05,3.339791898341886e-05,0.3806552197899089,10.0,1.3594000000000002,0.03993333333333333
2.0,2.0,1.0,2.4189905274468847e-05,5.343286095634811e-05,1.2088908720425475,10.0,1.33207,0.03689666666666667
3.0,3.0,1.0,2.4189905274468847e-05,0.0001369888544778631,4.663058739731715,10.0,1.28497,0.031663333333333335
