N,M,atc_lms_msd,uniform_dmcc_msd,gated_dmcc_msd,uniform_cost,gated_cost,gated_robust_rate,gated_wall_clock_sec,uniform_wall_clock_sec
10,2,0.00897323407455298,4.050517392155377e-05,4.050418982772106e-05,10.0,1.45648,0.05072,0.5081456002546474,0.5277445453277323
20,2,0.005785532559693187,2.8382048433702124e-05,2.8396510776408217e-05,10.0,1.4628249999999998,0.051425,0.7456420554488432,0.7734039500646759
30,2,0.004853798270520319,2.3668809621472187e-05,2.3685367876323013e-05,10.0,1.45705,0.050783333333333326,0.8425085548427887,0.8730912308383267
60,2,0.004081543732173798,1.949345694830205e-05,1.9510725820714252e-05,10.0,1.4586100000000002,0.050956666666666664,1.805223510239739,1.867762104992289
80,2,0.003911173717647466,1.813013651595702e-05,1.81467832822336e-05,10.0,1.4606987500000002,0.05118874999999999,2.2104986943653784,2.284096485824557
100,2,0.0031132574931111955,1.5047285313462465e-05,1.5062571936783607e-05,10.0,1.456381,0.050709000000000004,2.7530524653266184,2.8490551395807415
