p_H,atc_lms_msd,uniform_dmcc_msd,gated_dmcc_msd,huber_msd,sign_msd,uniform_cost,gated_cost,gated_robust_rate,empirical_hard_rate
0.01,0.0009899352979096505,1.2617317229762066e-05,1.2658343367031886e-05,1.1287219027219414e-05,0.0009280321267530562,10.0,1.0907200000000001,0.01008,0.032071666666666665
0.02,0.0019705167713029974,1.5201706695273952e-05,1.5236200297693055e-05,1.2792760278075526e-05,0.0009266176665500292,10.0,1.17919,0.01991,0.041598333333333334
0.05,0.004880822651943967,2.2924250338378685e-05,2.294051062401665e-05,1.731534883472757e-05,0.0009440468465906763,10.0,1.45225,0.050249999999999996,0.07059916666666667
0.1,0.009749658448849782,3.8535677462637735e-05,3.851684349802728e-05,2.565500152321296e-05,0.0009679744148119018,10.0,1.90354,0.1003933333333333,0.1188375
0.2,0.020116368725268164,7.12845440146438e-05,7.119639469546675e-05,4.42997384899409e-05,0.0010313316637508465,10.0,2.80249,0.20027666666666666,0.21572916666666667
0.3,0.030851525507923278,0.00011060563622694395,0.00011044265361023341,6.777721219901298e-05,0.0011280801343083254,10.0,3.68506,0.29833999999999994,0.3123966666666666
0.5,0.05183602771403858,0.00022516436739629408,0.00022475788171518615,0.00013097133269874097,0.001393476139025919,10.0,5.443989999999999,0.49377666666666664,0.5052724999999999
